title,year,venue,music,lyrics,book,notes
Bloomer Girl,1944,Broadway,Harold Arlen,E. Y. Harburg,Sig Herzig and Fred Saidy,
Blossom Time,1921,Austrian operetta,Franz Schubert,Alfred Maria Willner and Heinz Reichert,Willner and Reichert,
The Blue Angel,1930,Musical film,Friedrich Hollaender,Robert Liebmann,Heinrich Mann,
Bluebell in Fairyland,1901,West End,Walter Slaughter,Aubrey Hopwood and Charles H. Taylor,Seymour Hicks,
Blue Hawaii,1961,Musical film,Joseph J. Lilley,Lilley,Allan Weiss,
Blue Holiday,1945,Broadway revue,Al Moritz,Mortiz,N/A,
The Blue Kitten,1922,Broadway,Rudolf Friml,Otto Harbach and William Carey Duncan,Harbach and Duncan,
The Blue Mazurka,1927,West End operetta,Franz Lehár,Leo Stein and Bela Jenbach,Stein and Jenbach,
Blue of the Night,1933,Musical film,Various artists,Various artists,,
The Blue Paradise,1915,Broadway,Edmund Eysler and Sigmund Romberg,Herbert Reynolds,Edgar Smith,
Blue Rhythm,1931,Musical film,W. C. Handy,Handy,,
Blue Skies,1946,Musical film,Irving Berlin,Berlin,Berlin,
Blues in the Night,1941,Musical film,Heinz Roemheld,Roemheld,"Edwin Gilbert, Elia Kazan and Robert Rossen",
Blues in the Night,1982,Off-Broadway revue,Various artists,Various artists,N/A,
Boccaccio,1936,Musical film,Franz Doelle,Doelle,Emil Burri and Walter Forster,
The Body Beautiful,1958,Broadway,Jerry Bock,Sheldon Harnick,Joseph Stein and Will Glickman,
The Bodyguard,2012,West End Jukebox musical,Various artists,Various artists,Alexander Dinelaris,Based on the film of the same name.
The Bohemian Girl,1843,West End opera,Michael William Balfe,Alfred Bunn,Balfe,
Bombay Dreams,2002,West End,A. R. Rahman,Don Black,Meera Syal and Thomas Meehan,
Bombo,1921,Broadway,Sigmund Romberg,Harold R. Atteridge,Atteridge,
Bonnie and Clyde,2009,Off-Broadway,Frank Wildhorn,Don Black,Ivan Menchell,
Boobs! The Musical,2003,Off-Broadway,Ruth Wallis,Wallis,Steve Mackes and Michael Whaley,
Boogie Nights,1998,West End,Various artists,Various artists,Jon Conway,
The Book of Mormon,2011,Broadway,"Robert Lopez, Trey Parker and Matt Stone","Lopez, Parker and Stone","Lopez, Parker and Stone",
Boots and Saddles,1937,Musical film,Raoul Kraushaar,Kraushaar,Jack Natteford,
Boots! Boots!,1934,Musical film,,,Jack Cottrell and George Formby,
Born to Dance,1936,Musical film,Cole Porter,Porter,Jack McGowan and Sid Silvers,"Notable song: ""I've Got You Under My Skin""."
Bottoms Up,1934,Musical film,Howard Jackson,Jackson,"David Buster, Buddy DeSylva and Sid Silvers",
Boy Meets Boy,1975,Off-Broadway,Bill Solly,Solly,Solly and Donald Ward,
The Boy Friend,1954,West End,Sandy Wilson,Wilson,Wilson,
The Boy from Oz,2003,Broadway,Peter Allen,Allen,Nick Enright and Martin Sherman,
The Boy Who Heard Music,2007,Workshop,Pete Townshend and Rachel Fuller,Townshend and Fuller,Townshend,Adaptation of The Who's rock opera Wire and Glass.
The Boys from Syracuse,1938,Broadway,Richard Rodgers,Lorenz Hart,George Abbott,"Notable songs: ""Falling in Love with Love"" and ""This Can't Be Love""."
Bran Nue Dae,1990,Australian musical,Jimmy Chi and Kuckles,Chi and Kuckles,Chi and Kuckles,
Bravo Giovanni,1962,Broadway,Milton Schafer,Ronny Graham,A. J. Russell,
Breakfast at Tiffany's,1966,Broadway,Bob Merrill,Merrill,Edward Albee,Aimed at Broadway but closed during previews.
Brewster's Millions,1935,Musical film,Marr Mackie,Mackie,Arthur Wimperis,
The Bridges of Madison County,2014,Broadway,Jason Robert Brown,Brown,Marsha Norman,Based on the novel of the same name.
Brigadoon,1947,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable song: ""Almost Like Being in Love""."
Bright Eyes,1934,Musical film,Richard A. Whiting and Samuel Kaylin,Whiting and Kaylin,William Conselman,
"Bright Lights, Big City",2004,Off-Broadway,Paul Scott Goodman,Goodman,Goodman,
Bright Lights of 1944,1943,Broadway revue,Jerry Livingston,Mack David,Norman Anthony and Charles Sherman,
Bandanna Land,1908,Broadway,Will Marion Cook,Jesse A. Shipp and Alex Rogers,Shipp and Rogers,
Bright Star,2016,Broadway,Edie Brickell and Steve Martin,Edie Brickell,Steve Martin,
"Bring in 'da Noise, Bring in 'da Funk",1996,Broadway revue,"Daryl Waters, Zane Mark and Ann Duquesnay","Reg E. Gaines, George C. Wolfe and Duquesnay",Gaines,
Bring It On,2012,Broadway,Lin-Manuel Miranda and Tom Kitt,Amanda Green and Miranda,Jeff Whitty,Based on the 2000 film.
Bring on the Girls,1945,Musical film,Robert E. Dolan,Dolan,"Karl Tunberg, Darrell Ware and Pierre Wolff",
Bring Your Smile Along,1955,Musical film,Paul Mason Howard,Howard,Blake Edwards and Richard Quine,
Britannia of Billingsgate,1933,Musical film,Various artists,Various artists,Christine Jope-Slade and Sewell Stokes,
Broadway Gondolier,1935,Musical film,Heinz Roemheld,Roemheld,"Sig Herzig, Yip Harburg and Hanns Kräly",
Broadway Hostess,1935,Musical film,Ray Heindorf and Heinz Roemheld,Heindorf and Roemheld,George Bricker,
The Broadway Melody,1929,Musical film,"Nacio Herb Brown, George M. Cohan and Willard Robison","Brown, Cohan and Robison","Edmund Goulding, Norman Houston and James Gleason",
Broadway Melody of 1936,1935,Musical film,Nacio Herb Brown,Brown,"Harry W. Conn, Moss Hart, Jack McGowan and Sid Silvers",
Broadway Melody of 1938,1937,Musical film,Nacio Herb Brown,Arthur Freed,Jack McGowan,
Broadway Melody of 1940,1940,Musical film,"Cole Porter, Roger Edens and Walter Ruick","Porter, Edens and Ruick",Jack McGowan and Dore Schary,
Broadway Through a Keyhole,1933,Musical film,Alfred Newman,Newman,C. Graham Baker and Gene Towne,
Brooklyn,2004,Broadway,Mark Schoenfeld and Barri McPherson,Schoenfeld and McPherson,Schoenfeld and McPherson,
A Broken Idol,1909,Broadway,Egbert Van Alstyne,Harry Williams,Hal Stephens,
Bronx Bombers,2014,Broadway,Lindsay Jones,Eric Simonson,Simonson,
Bubbling Brown Sugar,1976,Broadway revue,Various artists,Various artists,Loften Mitchell,
Buck Benny Rides Again,1940,Musical film,Victor Young,Young,"Arthur Stinger, Edmund Beloin and William Morrow",
Buck Privates,1941,Musical film,Charles Previn,Previn,Arthur T. Horman,
Buddies,1919,Broadway,B. C. Hilliam,Hilliam,George V. Hobart,
Buddy – The Buddy Holly Story,1989,West End Jukebox musical,Various artists,Various artists,N/A,
Bugs Bunny on Broadway,1990,Broadway,Carl Stalling and Milt Franklyn,Stalling and Franklyn,George Daugherty,Based on the TV series Looney Tunes.
Bugsy Malone,1976,Musical film,Paul Williams,Williams,Alan Parker,"Notable songs: ""Fat Sam's Grand Slam"" and ""So You Wanna Be a Boxer?""."
Bullets Over Broadway,2014,Broadway revue,Various artists,Various artists,Woody Allen,Based on the film of the same name.
Bundle of Joy,1956,Musical film,,,"Robert Carson, Norman Krasna, Arthur Sheekman and Felix Jackson",
Bus Stop,1956,Musical film,"Ken Darby, Cyril J. Mockridge, Alfred Newman and Lionel Newman","Darby, Mockridge, Newman and Newman",George Axelrod and William Inge,
By Jeeves,1975,West End,Andrew Lloyd Webber,Alan Ayckbourn,Lloyd Webber and Ayckbourn,
By Jupiter,1942,Broadway,Richard Rodgers,Lorenz Hart,Rodgers and Hart,Based on The Warrior's Husband by Julian F. Thompson.
By the Beautiful Sea,1954,Broadway,Arthur Schwartz,Dorothy Fields,Herbert Fields and Fields,
By the Light of the Silvery Moon,1953,Musical film,Gus Edwards and Max Steiner,Edwards and Steiner,Booth Tarkington,
By the Way,1925,Off-Broadway revue,Vivian Ellis,Graham John,N/A,
Bye Bye Birdie,1960,Broadway,Charles Strouse,Lee Adams,Michael Stewart,"Notable songs: ""A Lot of Livin' to Do"", ""Kids"" and ""Put On a Happy Face""."
Cab Calloway's Hi-De-Ho,1933,Musical film,Cab Calloway,Calloway,Milton Hockey and Fred Rath,
Cabalgata,1949,Broadway revue,Ramon Bastida,Bastida,N/A,
Cabaret,1966,Broadway,John Kander,Fred Ebb,Joe Masteroff,"Notable songs: ""Cabaret"", ""Maybe This Time"" and ""Willkommen""."
Cabin in the Sky,1940,Broadway,Vernon Duke,John La Touche.,Lynn Root,
The Caddy,1953,Musical film,Joseph J. Lilley,Lilley,Danny Arnold and Edmund Hartmann,
La Cage aux Folles,1983,Broadway,Jerry Herman,Herman,Harvey Fierstein,"Notable song: ""I Am What I Am""."
Calamity Jane,1953,Musical film,Sammy Fain,Paul Francis Webster,James O'Hanlon,"Notable song: ""Secret Love""."
Call Me Madam,1950,Broadway,Irving Berlin,Berlin,Howard Lindsay and Russel Crouse,Star vehicle for Ethel Merman.
Call Me Mister,1946,Broadway revue,Harold Rome,Rome,N/A,
Call of the Flesh,1930,Musical film,William Axt,Axt,John Colton and Dorothy Farnum,
Calypso Heat Wave,1957,Musical film,Arthur Morton,Morton,David Chandler,
Camelot,1960,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable songs: ""Camelot"", ""If Ever I Would Leave You"", ""I Loved You Once in Silence"" and ""The Lusty Month of May""."
Camp,2003,Musical film,Various artists,Various artists,Todd Graff,
Can-Can,1953,Broadway,Cole Porter,Porter,Abe Burrows,"Notable song: ""I Am in Love""."
Candide,1956,Broadway,Leonard Bernstein,Richard Wilbur,Lillian Hellman,"Notable song: ""Glitter and Be Gay""."
The Candy Shop,1909,Broadway,John L. Golden,Golden,George V. Hobart,
Cannibal! The Musical,1993,Musical film,Trey Parker and Rich Sanders,Parker and Sanders,Parker,Originally known as Alferd Packer: The Musical.
Can't Help Singing,1944,Musical film,Jerome Kern,E. Y. Harburg,Lewis R. Foster and Frank Ryan,
Canticle of the Plains,1997,Concept album,"Rich Mullins, Mitch McVicker and Beaker","Mullins, McVicker and Beaker",N/A,
Canterbury Tales,1968,West End,John Hawkins and Richard Hill,Nevill Coghill,Martin Starkie and Coghill,
Can't Stop the Music,1980,Musical film,Various artists,Various artists,Allan Carr and Bronte Woodard,"Starred the Village People, Steve Guttenberg, Valerie Perrine and Caitlyn Jenner (credited as Bruce Jenner).[a]"
The Capeman,1998,Broadway,Paul Simon,Simon and Derek Walcott,Simon and Walcott,
Le capitaine Craddock,1931,Musical film,Werner R. Heymann,Heymann,Hans Müller,
El Capitan,1896,Broadway,John Philip Sousa,Charles Klein and Tom Frost,Klein,
Captain January,1936,Musical film,Lew Pollack,Pollack,"Sam Hellman, Gladys Lehman and Harry Tugend",
Captain Jinks,1925,Broadway,Lewis E. Gensler and Stephen Jones,B.G. DeSylva and Laurence Schwab,Frank Mandel,
Captain Louie,1988,Off-Broadway,Stephen Schwartz,Schwartz,Anthony Stein,
Captain of the Guard,1930,Musical film,Charles Wakefield Cadman,Cadman,Houston Branch,
The Card,1973,West End,Tony Hatch and Jackie Trent,Hatch and Trent,Keith Waterhouse and Willis Hall,
Carefree,1938,Musical film,Irving Berlin,Berlin,Allan Scott and Ernest Pagano,Starred Fred Astaire and Ginger Rogers.
Carib Song,1945,Broadway,Baldwin Bergersen,William Archibald,Archibald,
Carmelina,1979,Broadway,Burton Lane,Alan Jay Lerner,Joseph Stein and Lerner,
Carmen,2007,Czech musical,Frank Wildhorn,Jack Murphy,Norman Allen,
Carmen Cubana,2006,Austrian musical,Martin Gellner and Werner Stranka,"Kim Duddy, Gellner and Stranka",Duddy,
Carmen Jones,1943,Broadway,Georges Bizet,Oscar Hammerstein II,Hammerstein II,Featured the music from the opera Carmen.
Carnival!,1961,Broadway,Bob Merrill,Merrill,Michael Stewart,"Notable song: ""Love Makes the World Go 'Round""."
Carnival in Flanders,1953,Broadway,Jimmy Van Heusen,Johnny Burke,Preston Sturges,"Notable song: ""Here's That Rainy Day""."
Carolina Blues,1944,Musical film,George Duning,Duning,Joseph Hoffman and Al Martin,
"Caroline, or Change",2004,Broadway,Jeanine Tesori,Tony Kushner,Kushner,
Carousel,1945,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II,"Notable songs: ""Soliloquy"", ""You'll Never Walk Alone"" and ""If I Loved You""."
Carrie,1988,Broadway,Michael Gore,Dean Pitchford,Lawrence D. Cohen,
Casbah,1948,Musical film,Harold Arlen,Leo Robin,Leslie Bush-Fekete,
The Casino Girl,1900,Broadway,Various artists,Various artists,Harry B. Smith,
Castles in the Air,1926,Broadway,Percy Wenrich,Raymond W. Peck,Peck,
The Cat and the Fiddle,1931,Broadway,Jerome Kern,Otto Harbach,Harbach,
The Catch of the Season,1904,West End,Herbert Haines and Evelyn Baker,Charles H. Taylor,Seymour Hicks and Cosmo Hamilton,
Catch Me If You Can,2009,Broadway,Mark Shaiman,Scott Wittman and Shaiman,Terrence McNally,"Notable songs: ""Live in Living Color"", and ""Jet Set""."
Catch My Soul,1970,West End,Ray Pohlman and Emil Dean Zoghby,Jack Good,William Shakespeare,
A Catered Affair,2008,Broadway,John Bucchino,Bucchino,Harvey Fierstein,
Cats,1981,West End,Andrew Lloyd Webber,T. S. Eliot,Trevor Nunn,"Notable songs: ""Memory"", ""Mr. Mistoffelees"" and ""Macavity: The Mystery Cat""."
Cats Don't Dance,1997,Musical Animated film,Randy Newman,Newman,"Roberts Gannaway, Cliff Ruby and Elana Lesser",
Celebration,1969,Broadway,Harvey Schmidt,Tom Jones,Jones,
Centennial Summer,1946,Musical film,Jerome Kern,Oscar Hammerstein II,Michael Kanin,
The Century Girl,1916,Broadway revue,Victor Herbert and Irving Berlin,Berlin and Henry Blossom,N/A,
Champagne Charlie,1944,Musical film,Billy Mayerl,Lord Berners,"John Dighton, Angus MacPhail and Austin Melford","Notable song: ""Champagne Charlie""."
Charlie and the Chocolate Factory,2013,West End,Marc Shaiman and Scott Wittman,Shaiman and Wittman,David Greig,
Charlie Girl,1965,West End,David Heneker and John Taylor,Heneker and Taylor,"Hugh Williams, Margaret Vyner and Ray Cooney",
Charlotte's Web,1973,Musical Animated film,Robert B. Sherman and Richard M. Sherman,Sherman and Sherman,Earl Hamner Jr.,
Charlotte Sweet,1982,Off-Broadway,Gerald Jay Markoe,Michael Colby,Colby,
Chasing Rainbows,1930,Musical film,Milton Ager,Jack Yellen,Al Boasberg and Robert E. Hopkins,"Notable song: ""Happy Days Are Here Again""."
Chee-Chee,1928,Broadway,Richard Rodgers,Lorenz Hart,Lew M. Fields,
The Cheetah Girls,2003,Musical film,John Van Tongeren and Mark Mothersbaugh,,N/A,"Notable songs: ""Cinderella"", ""Girl Power"" and ""Cheetah Sisters""."
The Cheetah Girls 2,2006,Musical film,,,N/A,"Notable songs: ""The Party's Just Begun"", ""Strut"", ""Step Up"" and ""Amigas Cheetahs""."
The Cheetah Girls: One World,2008,Musical film,David Nessim Lawrence,,N/A,"Notable songs: ""Cheetah Love"" and ""One World""."
Chess,1986,West End,Benny Andersson and Björn Ulvaeus,Tim Rice and Ulvaeus,Richard Nelson,"Notable songs: ""One Night in Bangkok"" and ""I Know Him So Well""."
Chicago,1975,Broadway,John Kander,Fred Ebb,Ebb and Bob Fosse,"Notable songs: ""All That Jazz"", ""Cell Block Tango"", ""Mr. Cellophane"" and ""We Both Reached for the Gun""."
Children of Eden,1991,West End,Stephen Schwartz,Schwartz,John Caird,"Notable song: ""The Spark of Creation""."
Children In The Playground,2001,Soon To Tour,Benjamin D. Smith,Smith,Smith,"Based on book written by Benjamin D. Smith about the aftermath of September 11, 2001"
Children's Letters to God,2004,Off-Broadway,David Evans,Douglas J. Cohen,Stoo Hample,
Chin-Chin,1914,Broadway,Ivan Caryll,Anne Caldwell and James O'Dea,Caldwell and R. H. Burnside,
A Chinese Honeymoon,1899,West End,Howard Talbot and Ivan Caryll,Harry Greenbank,George Dance,
Chitty Chitty Bang Bang,2004,West End,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Jeremy Sams,Based on the film of the same name.
The Chocolate Dandies,1924,Broadway,Eubie Blake,Noble Sissle,Sissle and Lew Payton,
The Chocolate Soldier,1908,German musical,Oscar Straus,Stanislaus Stange,Rudolf Bernauer and Leopold Jacobson,
A Chorus Line,1975,Broadway,Marvin Hamlisch,Edward Kleban,"James Kirkwood, Jr. and Nicholas Dante","Notable songs: ""What I Did for Love"" and ""One""."
Chris and the Wonderful Lamp,1900,Broadway,John Philip Sousa,Glen MacDonough,MacDonough,
Christine,1960,Broadway,Sammy Fain,Paul Francis Webster,"Pearl S. Buck and Charles K. Peck, Jr.",
A Christmas Carol,1995,Off-Broadway,Alan Menken,Lynn Ahrens,Mike Ockrent and Ahrens,
The Christmas Schooner,1995,Off-Off-Broadway,Julie Shannon,Shannon,John Reeger,
Chronicle of a Death Foretold,1995,Broadway,Bob Telson,"Graciela Daniele, Jim Lewis and Michael John LaChiusa","Daniele, Lewis and LaChiusa",
Chu Chin Chow,1916,West End,Frederic Norton,Norton,Oscar Asche,
Church Basement Ladies,2005,Off-Off-Broadway,Drew Jansen,Jansen,Jim Stowell and Jessica Zuehlke,
Cinderella,1950,Musical Animated film,"Mack David, Al Hoffman and Jerry Livingston","David, Hoffman and Livingston",Various writers,"Notable songs: ""A Dream Is a Wish Your Heart Makes"" and ""Bibbidi-Bobbidi-Boo""."
Cinderella,2013,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II and Douglas Carter Beane,"Based on the original 1957 television special. Notable songs: ""In My Own Little Corner"" and ""Ten Minutes Ago""."
Cindy,1964,Off-Broadway,Johnny Brandon,Brandon,Joe Sauter and Mike Sawyer,
Cindy: Cendrillon 2002,2002,French musical,Romano Musumarra,Musumarra,Luc Plamondon,
The Cingalee,1904,West End,Lionel Monckton and Paul Rubens,Adrian Ross and Percy Greenbank,James T. Tanner,
City of Angels,1989,Broadway,Cy Coleman,David Zippel,Larry Gelbart,"Notable songs: ""You're Nothing Without Me"" and ""Funny""."
The Civil War,1999,Broadway,Frank Wildhorn,Jack Murphy,Gregory Boyd and Wildhorn,"Notable song: ""Tell My Father""."
Clambake,1967,Musical film,Various artists,Various artists,Arthur Browne Jr.,
A Class Act,2001,Broadway,Edward Kleban,Kleban,Linda Kline and Lonny Price,
Cleavage,1982,Broadway revue,Buddy Sheffield,Sheffield,Sheffield and David Sheffield,
Close Harmony,1929,Musical film,Richard A. Whiting,Leo Robin,Elsie Janis and Gene Markey,
Closer Than Ever,1989,Off-Broadway revue,David Shire,"Richard Maltby, Jr.",N/A,
Closer to Heaven,2001,West End,Pet Shop Boys,Pet Shop Boys,Jonathan Harvey,
Clue,1997,Off-Broadway,"Galen Blum, Wayne Barker and Vinnie Martucci",Tom Chiodo,Peter DePietro,
Coco,1969,Broadway,André Previn,Alan Jay Lerner,Lerner,Star vehicle for Katharine Hepburn.
The Cocoanut Grove,1938,Musical film,John Leipold,Leo Shuken,Sy Bartlett and Olive Cooper,
The Cocoanuts,1925,Broadway,Irving Berlin,Berlin,George S. Kaufman,
Colleen,1936,Musical film,Harry Warren,Al Dubin,Robert Lord,
College Humor,1933,Musical film,Arthur Johnston,Sam Coslow,Claude Binyon and Frank Butler,
Colma: The Musical,2007,Musical film,H.P. Mendoza,Mendoza,Mendoza,
The Color Purple,2005,Broadway,"Brenda Russell, Allee Willis and Stephen Bray","Russell, Willis and Bray",Marsha Norman,"Notable song: ""I'm Here""."
Come Summer,1969,Broadway,David Baker,Will Holt,Holt,
Comin' Round the Mountain,1951,Musical film,Joseph Gershenson,Gershenson,Robert Lees and Frederic Riedel,
Company,1970,Broadway,Stephen Sondheim,Sondheim,George Furth,"Notable songs: ""The Ladies Who Lunch"" and ""Being Alive""."
Coney Island,1943,Musical film,Ralph Rainger,Leo Robin,George Seaton,
A Connecticut Yankee,1927,Broadway,Richard Rodgers,Lorenz Hart,Herbert Fields,"Notable song: ""Thou Swell""."
A Connecticut Yankee in King Arthur's Court,1949,Musical film,Jimmy Van Heusen,Johnny Burke,Edmund Beloin,
The Conquering Hero,1961,Broadway,Mark Charlap,Norman Gimbel,Larry Gelbart,
Contact,2000,Broadway,Various artists,Various artists,John Weidman,
Conversation Piece,1934,West End,Noël Coward,Coward,Coward,
The Co-Optimists,1921,West End revue,Various artists,Various artists,N/A,
Copacabana,1947,Musical film,Edward Ward,Ward,"László Vadnay, Allen Boretz and Howard Harris",
Copacabana,1994,West End revue,Barry Manilow,Manilow,Manilo,
Copper and Brass,1957,Broadway,David Baker,David Craig,Ellen Violett and Craig,
Corpse Bride,2005,Musical Animated film,Danny Elfman,John August,"August, Caroline Thompson and Pamela Pettler",
Cotton Patch Gospel,1988,N/A,Harry Chapin,Chapin,Tom Key and Russell Treyz,
The Count of Luxembourg,1911,West End,Franz Lehár,Basil Hood and Adrian Ross,Hood and Ross,
Count To Ten,2009,Off-Broadway,"Michael Blevins, Scott Knipe, Bruce Sakcs and David Wollenberger",Blevins and Beth Clary,Blevins and Clary,
Countess Maritza,1924,German musical,Emmerich Kálmán,Harry B. Smith,Julius Brammer and Alfred Grünwald,
The Court Jester,1956,Musical film,Sylvia Fine,Sammy Cahn,Melvin Frank and Norman Panama,
Cover Girl,1944,Musical film,Jerome Kern,Ira Gershwin and E.Y. Harburg,Virginia Van Upp,
Cowardy Custard,1972,West End revue,Noël Coward,Coward,Coward,
Cowboy from Brooklyn,1938,Musical film,Leo F. Forbstein,Adolph Deutsch,Robert Sloane and Louis Pelletier,
Coyote Tales,1998,Off-Broadway,Henry Mollicone,Sheldon Harnick,Harnick,
The Cradle Will Rock,1938,Broadway,Marc Blitzstein,Blitzstein,Blitzstein,
Cranks,1956,Broadway revue,John Addison,John Cranko,N/A,
Crazy for You,1992,Broadway,George Gershwin,Ira Gershwin,Ken Ludwig,A revised version of Girl Crazy
Cry-Baby,2007,Broadway,Adam Schlesinger,David Javerbaum,Mark O'Donnell and Thomas Meehan,Based on the 1990 film of the same name.
Cry for Us All,1970,Broadway,Mitch Leigh,William Alfred and Phyllis Robinson,Alfred and Albert Marre,
Cuban Love Song,1931,Musical film,Herbert Stothart,Stothart,C. Gardner Sullivan and Bess Meredyth,
The Cuckoos,1930,Musical film,Harry Ruby,Ruby,Guy Bolton and Bert Kalmar
The Curious Case of the Human Being,2016,British Musical,Paul Flynn,Paul Flynn,Paul Flynn,
Curley McDimple,1967,Off-Broadway,Robert Dahdah,Dahdah,Dahdah and Mary Boylan,
Curly Top,1935,Musical film,Ray Henderson,Ted Koehler,Patterson McNutt and Arthur J. Beckhard,
Curtains,2007,Broadway,John Kander,Fred Ebb,Rupert Holmes,
Cyrano,1973,Broadway,Michael J. Lewis,Anthony Burgess,Burgess,Based on Anthony Burgess's translation of the Edmond Rostand play Cyrano de Bergerac.
Cyrano: The Musical,1993,Broadway,Ad van Dijk,"Koen van Dijk, Peter Reeves and Sheldon Harnick",van Dijk,
Daddy Cool,2006,West End,"Boney M., Frank Farian","Boney M., Frank Farian",,
Daddy Long Legs,1955,Film,Johnny Mercer,Johnny Mercer,"Phoebe Ephron, Henry Ephron",
Dames,1934,Film,"Harry Warren, Sammy Fain, Allie Wrubel","Al Dubin, Irving Kahal, Mort Dixon","Robert Lord, Delmer Daves",
Dames at Sea,1966,Off-Off-Broadway,Jim Wise,"George Haimsohn, Robin Miller","George Haimsohn, Robin Miller",
Damn Yankees,1955,Broadway,Richard Adler,Jerry Ross,"George Abbott, Douglass Wallop","Based on the novel The Year the Yankees Lost the Pennant by Douglass Wallop. Notable songs: ""Heart"", ""Whatever Lola Wants."""
Dancer in the Dark,2000,Film,Björk,"Björk, Lars von Trier, Sjón",Lars von Trier,
A Damsel in Distress,1937,Film,George Gershwin,Ira Gershwin,P. G. Wodehouse,"Based on the novel of the same name by P. G. Wodehouse. Notable song: ""A Foggy Day""."
Dance a Little Closer,1983,Broadway,Charles Strouse,Alan Jay Lerner,Alan Jay Lerner,Based on the play Idiot's Delight by Robert E. Sherwood.
The Dance of Life,1929,Film,Richard A. Whiting,Sam Coslow and Leo Robin,Benjamin Glazer,
Dance of the Vampires,1997,Vienna,Jim Steinman,Michael Kunze,Michael Kunze,Based on the film The Fearless Vampire Killers by Roman Polanski.
Dance with Me,1975,Broadway,Greg Antonacci,Greg Antonacci,Greg Antonacci,
Dancin',1978,Broadway,various,various,Bob Fosse,
Dancing Lady,1933,Film,Louis Silvers and Burton Lane,Harold Adamson,Allen Rivkin and P. J. Wolfson,
The Dancing Years,1939,West End,Ivor Novello,Christopher Hassall,Ivor Novello,
Dangerous Games,1989,Broadway,Willian Finn,Astor Piazzolla,,
Dangerous When Wet,1953,Film,Albert Sendrey and Georgie Stoll,,Dorothy Kingsley,
Darby O'Gill and the Little People,1959,Film,Oliver Wallace,Lawrence Edward Watkin,Lawrence Edward Watkin,Based on books Darby O'Gill and the Good People and The Ashes of Old Wishes And Other Darby O'Gill Tales by Herminie Templeton Kavanagh
Darling Lili,1970,Film,Henry Mancini,Johnny Mercer,William Peter Blatty and Blake Edwards,
Darling of the Day,1968,Broadway,Jule Styne,Yip Harburg,Nunnally Johnson,Based on the novel Buried Alive by Arnold Bennett.
A Date with Judy,1948,Film,Ernesto Lecuona,,Dorothy Kingsley,Based on the radio series of the same name.
A Day at the Races,1937,Film,Bronisław Kaper and Walter Jurmann,Gus Kahn,"Robert Pirosh, George Seaton, and George Oppenheimer",
The Day Before Spring,1945,Broadway,Frederick Loewe,Alan Jay Lerner,Alan Jay Lerner,
A Day in Hollywood / A Night in the Ukraine,1979,West End,Frank Lazarus and others,Dick Vosburgh,Dick Vosburgh,Second act based on the one-act play The Bear by Anton Chekhov.
Dear Edwina,2008,Off-Broadway,Zina Goldrich,Marcy Heisler,Marcy Heisler,
Dear World,1969,Broadway,Jerry Herman,Jerry Herman,Jerome Lawrence and Robert Edwin Lee,Based on the play The Madwoman of Chaillot by Jean Giraudoux.
Dearest Enemy,1925,Broadway,Richard Rodgers,Lorenz Hart,Herbert Fields,
Debbie Does Dallas: The Musical,2002,Off-Broadway,"Andrew Sherman, Tom Kitt, Jonathan Callicutt","Andrew Sherman, Tom Kitt, Jonathan Callicutt",Susan L. Schwartz,
Deep in My Heart,1954,Film,Sigmund Romberg,"Oscar Hammerstein II, Otto Harbach, Dorothy Donnelly, Roger Edens, Cyrus D. Wood, Ballard MacDonald, Rida Johnson Young, Harold R. Atteridge, Herbert Reynolds","Leonard Spigelgass, Elliott Arnold",
Delicious,1931,Film,George Gershwin,Ira Gershwin,"Guy Boltons, Sonya Levien",
Delightfully Dangerous,1945,Film,Morton Gould,Edward Heyman,"Walter DeLeon, Arthur Phillips",
De-Lovely,2004,Film,Cole Porter,Cole Porter,Jay Cocks,
Les Demoiselles de Rochefort,1967,Film,Michel Legrand,Jacques Demy,Jacques Demy,
Departure Lounge,2010,Off West End,Douglas Irvine,,,
The Desert Song,1926,Broadway,Sigmund Romberg,Otto Harbach,"Oscar Hammerstein II, Otto Harbach, and Frank Mandel",
Dessa Rose,2005,Off-Broadway,Stephen Flaherty,Lynn Ahrens,Lynn Ahrens,Based on the novel of the same name by Sherley Anne Williams.
Destry Rides Again,1939,Film,Friedrich Hollaender,Frank Loesser,Felix Jackson,Based on the novel of the same name by Max Brand.
Destry Rides Again,1959,Broadway,Harold Rome,Harold Rome,Leonard Gershe,Based on the novel of the same name by George Marshall.
Devil-May-Care,1929,Film,Herbert Stothart,Clifford Grey,Richard Schayer,
